Part_id	Sc_id	abspathanglesrate	blinkdurationmax	blinkdurationmean	blinkdurationmin	blinkdurationstd	blinkdurationtotal	blinknum	blinkrate	blinktimedistancemax	blinktimedistancemean	blinktimedistancemin	blinktimedistancestd	enddistance	endpupilsize	eyemovementvelocity	fixationrate	fixationsaccadetimeratio	length	longestsaccadedistance	longestsaccadeduration	maxdistance	maxpupilsize	maxpupilvelocity	maxsaccadespeed	meanabspathangles	meandistance	meanfixationduration	meanpathdistance	meanpupilsize	meanpupilvelocity	meanrelpathangles	meansaccadedistance	meansaccadeduration	meansaccadespeed	mindistance	minpupilsize	minpupilvelocity	minsaccadespeed	numfixations	numsaccades	numsamples	numsegments	relpathanglesrate	startdistance	startpupilsize	stddevabspathangles	stddevdistance	stddevfixationduration	stddevpathdistance	stddevpupilsize	stddevpupilvelocity	stddevrelpathangles	stddevsaccadedistance	stddevsaccadeduration	stddevsaccadespeed	sumabspathangles	sumfixationduration	sumpathdistance	sumrelpathangles	sumsaccadedistance	sumsaccadeduration
EA-069	EA-069_allsc	0.000685091005557	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0.040711085247	0.000457857228172	-0.0527084158734	150702	1878.3978497	48798.0	-1	-1	-1	1.29283988069	1.60376284184	-1	275.362318841	94.4037225984	-1	-1	1.05941556873	396.351893922	2426.86538462	0.383992659821	-1	-1	-1	0.0166559837573	69	52	650	4	0.000429216369134	-1	-1	1.24953319094	-1	224.75149486	82.4185123481	-1	-1	1.0461352727	440.927734997	7539.739864	0.210346617591	103.244584719	19000	6135.2419689	64.6837652612	20609.298484	126196.0
EA-069	Reading	0.000494056178955	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0.0366358039451	0.000323123756399	0.0499322348242	58801	1878.3978497	48798.0	-1	-1	-1	0.76440763312	1.61394429882	-1	184.210526316	119.678994876	-1	-1	1.3982027324	711.89401169	5006.78571429	0.431544548058	-1	-1	-1	0.0166559837573	19	14	247	1	0.000404235411826	-1	-1	1.3452192579	-1	153.706639395	109.287232809	-1	-1	1.16038165767	644.577927666	12719.7156547	0.201450613877	29.0509973787	3500	2154.22190778	23.7694464508	9966.51616366	70095.0
EA-069	Memory	0.000285378047169	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0.0198504819411	0.000191251605147	0.491228070175	36601	372.513872242	3600.0	-1	-1	-1	0.399163946348	1.74085365074	-1	400.0	121.091248254	-1	-1	0.964532079822	214.272377528	1425.0	0.228160999975	-1	-1	-1	0.103476075623	7	4	62	1	0.000131763077487	-1	-1	1.18858115531	-1	326.598632371	104.826005912	-1	-1	0.89031070883	158.224900146	1558.5784121	0.124156980736	10.4451219044	2800	726.547489525	4.82266039911	857.089510112	5700.0
EA-069	CookieTheft	0.00126215332235	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0.0634595043196	0.000818713450292	0.248006031507	51300	1020.51198761	26501.0	-1	-1	-1	1.29283988069	1.5792308643	-1	297.619047619	79.4017700389	-1	-1	0.927291460283	287.843906182	1482.41176471	0.382745606999	-1	-1	-1	0.0235415573258	42	34	336	1	0.000723034277024	-1	-1	1.24457766341	-1	225.049908002	61.594381948	-1	-1	1.00447035715	275.904204498	4475.97067257	0.216995448357	64.7484654363	12500	3255.4725716	37.0916584113	9786.69281019	50402.0
EA-069	PupilCalib	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0.00025	-1.0	4000	-1	-1	-1	-1	-1	-1	-1	-1	200.0	-1	-1	-1	-1	0	0	0	-1	-1	-1	inf	1	0	5	1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	0	0	0	-1	200	-1	-1	-1	-1
EA-073	EA-073_allsc	0.000896283830252	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0.0678001248525	0.000684918712602	0.630754739467	160603	1988.20835594	33302.0	-1	-1	-1	1.17497261212	1.35797992443	-1	315.436363636	102.725504261	-1	-1	1.2499354897	319.402135344	1434.22340426	0.339775338427	-1	-1	-1	0.0252596848377	110	94	948	4	0.000793842082336	-1	-1	1.23936559281	-1	283.809359948	103.354309794	-1	-1	1.15569406287	386.20962698	3875.04534321	0.219638041226	143.94587199	34698	10888.9034517	127.493419949	30023.8007223	134817.0
EA-073	Reading	0.000836296362833	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0.0876438432493	0.000653734971757	0.179402167641	97899	1988.20835594	33302.0	-1	-1	-1	1.17497261212	1.29956472421	-1	267.171875	136.194358893	-1	-1	1.24950738818	411.566302394	1701.98214286	0.385942897845	-1	-1	-1	0.0252596848377	64	56	566	1	0.000791320218462	-1	-1	1.27125647275	-1	203.912489376	119.581534215	-1	-1	1.1974045742	423.189626876	4481.03177847	0.232403728016	81.872577625	17099	8580.24461027	77.4694580672	23047.7129341	95311.0
EA-073	Memory	0.000769970633964	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0.0285676929321	0.000589920782066	0.507971241013	35598	1468.88708773	3797.0	-1	-1	-1	0.848900773849	1.37047073139	-1	309.523809524	50.8476366499	-1	-1	1.1760553039	192.508901637	752.705882353	0.258177418243	-1	-1	-1	0.0445390428187	21	17	165	1	0.000627705229903	-1	-1	1.20554434608	-1	309.684939745	29.3628452501	-1	-1	1.07216932591	344.786952227	1110.88887635	0.197110548484	27.4094146279	6500	1016.952733	22.3450507741	3272.65132783	12796.0
EA-073	CookieTheft	0.00121102964319	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0.0509861152683	0.000881989768919	0.214675693383	17007	853.050482305	16895.0	-1	-1	-1	0.76044312315	1.47114151012	-1	327.666666667	61.9372044548	-1	-1	1.29410520552	252.830414802	1907.91666667	0.326457608078	-1	-1	-1	0.0504912981536	15	12	144	1	0.000989202544347	-1	-1	1.17048557936	-1	242.847296719	55.9319351881	-1	-1	1.11514552677	263.667204175	4742.2594626	0.192460937666	20.5959811417	4915	867.120862367	16.8233676717	3033.96497763	22895.0
EA-073	PupilCalib	0.00139299916778	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0.0420423057784	0.000990197049213	1.62096985583	10099	126.64037607	1400.0	-1	-1	-1	0.413072422865	1.56309984393	-1	618.4	47.1761384507	-1	-1	1.35694292954	74.3857203141	423.888888889	0.224396902857	-1	-1	-1	0.0702757480856	10	9	73	1	0.00107491270782	-1	-1	1.36405425045	-1	510.606436831	17.7753609244	-1	-1	1.28746357578	38.892393691	385.744878269	0.12854265561	14.0678985954	6184	424.585246056	10.8555434363	669.471482827	3815.0
