	OpenFace_TS	RecordingTimestamp	left_x	left_y	right_x	right_y	avg_x	avg_y	ParticipantName	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX	FixationPointY	ValidityLeft	ValidityRight	UnclassifiedIndex
873	264.1	264796.0	799.793273394855	405.021181815797	818.917406254344	406.2025823127913	809.355339824599	405.6118820642943	HI-144	125		Fixation	300	809.355339824599	405.6118820642943	0	0	
874	264.3	264996.0	799.2073483244812	420.866245598214	819.5302189737814	421.94984091957895	809.3687836491314	421.4080432588964	HI-144	125		Fixation	300	809.355339824599	405.6118820642943	0	0	
875	264.4	265096.0	789.043807714869	417.2771434739136	808.0196645357012	417.7558299244735	798.5317361252849	417.5164866991935	HI-144	125		Fixation	300	809.355339824599	405.6118820642943	0	0	
876	264.5	265196.0	835.8304765710382	415.4524851602106	856.2167318064451	418.1890895705194	846.0236041887415	416.8207873653648	HI-144		139	Saccade	400			0	0	
877	264.6	265296.0	894.0870228455092	417.8994213839264	915.396269945664	422.6374048582085	904.7416463955868	420.2684131210674	HI-144		139	Saccade	400			0	0	
878	264.7	265396.0	884.8940522149337	430.8946856372073	906.198397877219	434.97799261607145	895.5462250460765	432.93633912663904	HI-144		139	Saccade	400			0	0	
879	264.8	265496.0	956.7845346833776	434.9087177627257	979.1145568631862	441.2540469465421	967.949545773282	438.08138235463366	HI-144		139	Saccade	400			0	0	
880	264.9	265596.0	1002.9836344883076	451.5407871151265	1025.8900589832149	459.2591012254473	1014.4368467357612	455.3999441702869	HI-144		139	Saccade	400			0	0	
881	265.0	265696.0	973.1850057809852	437.3803565236739	995.6029438746152	444.3959291071452	984.3939748278004	440.88814281540925	HI-144	126		Fixation	100	984.3939748278004	440.88814281540925	0	0	
882	265.1	265796.0	956.5272094169648	447.9321302113431	980.59094808238	454.4934816169708	968.5590787496726	451.2128059141567	HI-144	126		Fixation	100	984.3939748278004	440.88814281540925	0	0	
883	265.2	265896.0	1047.4190468309066	435.7478623575287	1073.4591132964624	446.0993066178828	1060.4390800636838	440.9235844877055	HI-144		140	Saccade	0			0	0	
884	265.3	265996.0	1031.5608118649336	436.67797551349753	1057.9250369459796	446.6065297011256	1044.7429244054565	441.6422526073114	HI-144	127		Fixation	100	1044.7429244054565	441.6422526073114	0	0	
885	265.4	266096.0	1041.302401322256	438.5056169323436	1067.339035538157	448.6512923177927	1054.3207184302064	443.5784546250679	HI-144	127		Fixation	100	1044.7429244054565	441.6422526073114	0	0	
886	265.5	266196.0	894.5326191004872	418.597044702655	916.7029970081156	423.481948804734	905.6178080543016	421.03949675369455	HI-144		141	Saccade	0			0	0	
